CLAUSE #,P OR C,IBR,FILL-IN,$$,UCF,FP SUP,CR SUP,FP R&D,CR R&D,FP SVC,CR SVC,FP CON,CR CON,T&M LH,LMV,COM SVC,DDR,A&E,FAC,IND DEL,TRN,UTL SVC
3.2.2.3-38 Alternate II,P,,X,,L,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.2.3-39,C,,X,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.2.3-40,P,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.2.3-41,C,,X,,I,,,,,,,R,,,,,,,,,,
3.2.2.3-42,C,X,,,I,,,,,,,R,,,,,R,,,,,
3.2.2.3-43,C,X,,,I,,,,,,,R,,,,,R,,,,,
3.2.2.3-43 Alternate I,C,X,,,I,,,,,,,A,,,,,A,,,,,
3.2.2.3-44,C,,X,,I,,,,,,,A,,,,,,,,,,
3.2.2.3-45,C,X,,,I,,,,,,,R,R,,,,R,,,,,
3.2.2.3-46,C,X,,,I,,,,,,,R,,,,,A,,,,,
3.2.2.3-47,C,X,,,I,,,,,,,R,R,,,,R,,,,,
3.2.2.3-48,C,X,,,I,,,,,,,A,,,,,A,,,,,
3.2.2.3-49,C,X,,,I,,,,,,,R,,,,,R,,,,,
3.2.2.3-50,C,X,,,I,,,,,,,R,,,,,A,,,,,
3.2.2.3-50 Alternate I,C,,X,,I,,,,,,,A,,,,,A,,,,,
3.2.2.3-51,C,X,,,I,,,,,,,R,,,,,R,,,,,
3.2.2.3-52,C,X,,,I,,,,,,,A,,,,,A,,,,,
3.2.2.3-53,C,X,,,I,,,,,,,R,,,,,R,,,,,
3.2.2.3-54,C,X,,,I,,,,,,,R,,,,,R,,,,,
3.2.2.3-55,C,X,,,I,,,,,,,A,,,,,A,,,,,
3.2.2.3-56,C,X,,,I,,,,,,,A,,,,,,,,,,
3.2.2.3-57,C,X,,,I,,,,,,,A,,,,,,,,,,
3.2.2.3-58,C,X,,,I,,,,,,,A,,,,,,,,,,
3.2.2.3-59,C,X,,,I,,,,,,,,R,,,,R,,,,,
3.2.2.3-60,C,X,,,I,,,,,,,R,,,,,A,,,,,
3.2.2.3-60 Alternate I,C,,X,,I,,,,,,,A,,,,,A,,,,,
3.2.2.3-60 Alternate II,C,,X,,I,,,,,,,O,,,,,O,,,,,
3.2.2.3-61,C,X,,,I,,,,,,,A,,,,,A,R,,,,
3.2.2.3-62,C,X,,,I,,,,,,,O,O,,,,O,,,,,
3.2.2.3-63,P,,X,,L,,,,,,,A,A,,,,A,,,,,
3.2.2.3-64,C,X,,,I,,,,,,,A,A,,,,A,,,,,
3.2.2.3-65,C,X,,,I,,,,,,,A,A,,,,A,,,,,
3.2.2.3-66,C,X,,,I,,,,,,,A,A,,,,A,,,,,
3.2.2.3-67,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.2.3-68,C,X,,,I,,,,,,,R,R,,,,R,,,,,
3.2.2.3-68 Alternate I,C,,X,,I,,,,,,,A,A,,,,A,,,,,
3.2.2.3-69,C,X,,,I,,,,,,,A,A,,,,A,,,,,
3.2.2.3-69 Alternate I,C,X,,,I,,,,,,,A,A,,,,A,,,,,
3.2.2.3-70,,,,,,,,,,,,,,,,,,,,,,
3.2.2.3-71,C,,X,,I,,,,,,,R,,,,,A,,,,,
3.2.2.3-71 Alternate I,C,,X,,I,,,,,,,R,,,,,A,,,,,
3.2.2.3-72,P,X,,,L,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.2.3-73,C,X,,,I,A,A,,,,,A,A,,,,A,,,A,,
3.2.2.3-74,C,X,,,I,A,A,,,,,A,A,,,,A,,,A,,
3.2.2.3-75,,,,,,,,,,,,,,,,,,,,,,
3.2.2.3-76,,,,,,,,,,,,,,,,,,,,,,
3.2.2.3-77,,,,,,,,,,,,,,,,,,,,,,
3.2.2.3-78,,,,,,,,,,,,,,,,,,,,,,
3.2.2.3-79,,,,,,,,,,,,,,,,,,,,,,
3.2.2.3-80,,,,,,,,,,,,,,,,,,,,,,
3.2.2.3-81,P,,,,K,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
