CLAUSE #,P OR C,IBR,FILL-IN,$$,UCF,FP SUP,CR SUP,FP R&D,CR R&D,FP SVC,CR SVC,FP CON,CR CON,T&M LH,LMV,COM SVC,DDR,A&E,FAC,IND DEL,TRN,UTL SVC
3.5-11 Alternate I,,,,,,,,,,,,,,,,,,,,,,
3.5-11 Alternate II,,,,,,,,,,,,,,,,,,,,,,
3.5-12,C,X,,,I,,,A,A,,,A,A,,,,,A,,,,
3.5-12 Alternate I,C,,X,,I,,,A,A,,,A,A,,,,,A,,,,
3.5-12 Alternate II,C,X,,,I,,,A,A,,,A,A,,,,,A,,,,
3.5-13,C,X,,,I,A,A,A,A,A,A,,,A,A,A,A,,A,A,A,
3.5-13 Alternate I,C,X,,,I,A,A,A,A,A,A,,,A,A,A,A,,A,A,A,
3.5-13 Alternate II,C,X,,,I,A,A,A,A,A,A,,,A,A,A,A,,A,A,A,
3.5-13 Alternate III,C,X,,,I,A,A,A,A,A,A,,,A,A,A,A,,A,A,A,
3.5-13 Alternate IV,C,X,,,I,O,O,A,A,O,O,,,O,O,O,O,,O,O,O,
3.5-13 Alternate V,C,X,,,I,A,A,A,A,A,A,,,A,A,A,A,,A,A,A,
3.5-14,P,,,,K,A,A,A,A,A,A,,,A,A,A,A,,A,A,A,
3.5-15,C,X,,,I,,,A,A,,,,,,,,,,,,,
3.5-16,C,X,,,I,A,A,A,A,A,A,O,O,A,,A,,O,,,,
3.5-17,C,X,,,I,A,A,A,A,A,A,,,A,,A,,A,,A,,
3.5-18,C,X,,,I,A,,,,A,,,,,,A,,,,,,
3.5-19,,,,,,,,,,,,,,,,,,,,,,
3.5-20,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
3.5-21,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
3.5-22,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
3.5-23,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
3.5-24,C,X,,,I,,,,,,,A,A,,,,A,R,,,,
3.6.1-1,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.1-2,,,,,,,,,,,,,,,,,,,,,,
3.6.1-3,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.1-4,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.1-4 Alternate I,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.1-5,,,,,,,,,,,,,,,,,,,,,,
3.6.1-6,C,X,,,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3.6.1-7,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.1-8,C,,X,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.1-9,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.1-10,P,X,,X,M,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.1-11,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.1-12,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.1-13,C,,X,,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3.6.1-14,C,,X,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.1-15,C,X,,X,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.1-16,C,,X,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.1-17,P,,X,,L,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.6.1-18,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.1-19,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.1-20,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.1-21,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.2-1,C,X,,X,I,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A
3.6.2-2,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.2-3,,,,,,,,,,,,,,,,,,,,,,
3.6.2-4,C,X,,X,I,A,A,A,A,,,,,,,,,,,A,,
3.6.2-5,P,,,X,K,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.2-6,P,,,X,K,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.2-7,P,X,,X,L,A,A,A,A,A,A,,,A,A,A,A,A,A,A,A,A
3.6.2-8,P,,,X,K,A,A,A,A,A,A,,,A,A,A,A,A,A,A,A,A
3.6.2-9,C,X,,X,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.2-9 Alternate I,C,,X,X,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.2-10,C,X,,X,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.2-11,C,X,,,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3.6.2-12,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.2-12 Alternate I,C,X,X,X,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.2-13,C,X,,X,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.2-13 Alternate I,C,,X,X,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.2-14,C,,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.2-15,P,X,,,L,,,,,A,A,,,,,,,,,,,
3.6.2-16,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.2-17,C,,X,,I,,A,,A,,A,,A,,,A,A,A,,A,A,
3.6.2-18,C,X,,X,I,,,,,,,A,A,,,,,,,,,
3.6.2-19,C,X,,,I,,,,,,,A,A,,,,,,,,,
3.6.2-20,C,X,,X,I,,,,,,,A,A,,,,,,,,,
3.6.2-21,C,X,,X,I,,,,,,,A,A,,,,,,,,,
3.6.2-22,C,X,,X,I,,,,,,,A,A,,,,,,,,,
3.6.2-23,C,X,,X,I,,,,,,,A,A,,,,,,,,,
3.6.2-24,C,,X,X,I,,,,,,,A,A,,,,,,,,,
3.6.2-25,,,,,,,,,,,,,,,,,,,,,,
3.6.2-26,,,,,,,,,,,,,,,,,,,,,,
3.6.2-27,,,,,,,,,,,,,,,,,,,,,,
3.6.2-28,C,X,,X,I,,,,,A,A,,,A,,A,A,A,,,A,
3.6.2-29,C,,X,X,I,,,,,A,A,,,A,,A,A,A,,,A,
3.6.2-30,C,X,,,I,,,,,A,,,,A,,A,A,A,,,A,
3.6.2-31,C,X,,,I,,,,,A,,,,A,,A,A,A,,,A,
3.6.2-32,C,,X,,I,,,,,A,A,,,A,,A,A,A,,,A,
3.6.2-33,P,,X,,I,,,,,A,A,,,A,,,,,,,,
3.6.2-34,C,,X,,I,,,,,A,A,,,A,,A,A,,,,A,
3.6.2-35,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.2-36,,,,,,,,,,,,,,,,,,,,,,
3.6.2-37,,,,,,,,,,,,,,,,,,,,,,
3.6.2-38,C,,X,X,K,A,A,,,,,,,,,,,,,A,,
3.6.2-39,C,X,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.6.2-40,,,,,,,,,,,,,,,,,,,,,,
3.6.2-41,C,,,X,I,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.2-42,P,X,,X,L,,,,,,,A,A,,,,,,,,,
3.6.2-42 Alternate I,P,X,,X,L,,,,,,,A,A,,,,,,,,,
3.6.2-42 Alternate II,P,X,,X,L,,,,,,,A,A,,,,,,,,,
3.6.2-43,C,X,,X,I,,,,,,,A,A,,,,,,,,,
3.6.2-43 Alternate I,C,X,,,I,,,,,,,A,A,,,,,,,,,
3.6.2-44,C,X,,X,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.2-45,P,X,,X,K,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.2-46,C,X,,X,I,,,,,A,A,A,A,A,,A,A,A,,,A,
3.6.2-47,C,X,,X,I,,,,,A,A,A,A,A,,A,A,A,,,A,
3.6.2-48,,,,,,,,,,,,,,,,,,,,,,
3.6.3-1,,,,,,,,,,,,,,,,,,,,,,
3.6.3-2,,,,,,,,,,,,,,,,,,,,,,
3.6.3-3,C,,X,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.3-4,P,X,,,K,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.3-5,C,,X,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.3-5 Alternate I,C,,X,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.3-5 Alternate II,,,,,,,,,,,,,,,,,,,,,,
3.6.3-6,C,,X,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.3-7,C,X,,,I,,,,,A,A,,,,,A,,,A,,,
3.6.3-8,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.3-9,C,,X,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.3-10,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.3-11,,,,,,,,,,,,,,,,,,,,,,
3.6.3-12,C,,X,,I,,,,,,,R,R,,,,A,,A,,,
3.6.3-13,C,X,,,I,,,,,A,A,R,R,,,,A,,A,,,
3.6.3-14,C,X,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.6.3-15,,,,,,,,,,,,,,,,,,,,,,
3.6.3-16,C,X,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.6.3-17,C,X,,,I,A,A,A,A,A,A,A,A,A,,A,A,,A,A,A,A
3.6.3-18,P,X,,,K,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.3-19,C,X,,,I,,,,,A,A,A,A,A,,,A,,A,A,,
3.6.3-20,C,,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.3-20 Alternate I,,,,,,,,,,,,,,,,,,,,,,
3.6.3-20 Alternate II,,,,,,,,,,,,,,,,,,,,,,
3.6.3-21,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.3-22,C,,,X,I,A,A,A,A,A,A,A,A,A,,,A,,A,A,,
3.6.3-23,C,X,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.6.3-24,C,X,,,I,A,A,A,A,A,A,A,A,A,,,A,,A,A,,
3.6.3-25,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.3-26,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.4-1,P,X,,,L,A,A,A,A,,,,,,,,,,,A,,
3.6.4-2,C,X,,,I,A,A,A,A,A,A,,,A,A,A,,,,A,,
3.6.4-3,C,,,,I,,,,,,,A,A,,,,,,,,,
3.6.4-4,C,X,,X,I,,,,,,,A,A,,,,,,,,,
3.6.4-4 Alternate I,C,,,,,,,,,,,,,,,,,,,,,
3.6.4-5,C,X,,,I,A,A,,,,,A,A,,,,,,,A,,
3.6.4-6,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.4-7,,,,,,,,,,,,,,,,,,,,,,
3.6.4-8,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.4-9,,,,,,,,,,,,,,,,,,,,,,
3.6.4-10,C,X,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.6.4-11,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.4-12,,,,,,,,,,,,,,,,,,,,,,
3.6.4-13,,,,,,,,,,,,,,,,,,,,,,
3.6.4-14,C,X,,,I,,,,,,,A,A,,,,,A,,,,
3.6.4-15,P,,,,K,A,A,A,A,A,A,,,A,A,A,,,,A,,
3.6.4-16,P,,,,I,A,A,A,A,A,A,,,A,A,A,,,,A,,
3.6.4-17,P,,,,K,A,A,,,,,,,,,,,,,A,,
3.6.4-18,P,,,,K,A,A,A,A,,,A,A,A,A,A,A,A,A,A,A,A
3.6.4-19,P,,,,K,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.6.4-20,C,X,,,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3.6.4-21,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.4-22,P,,,,K,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.6.4-23,C,X,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.6.4-24,P,,,,K,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.6.4-24 Alternate I,C,,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.6.4-25,C,,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.6.5-1,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.7-1,,,,,,,,,,,,,,,,,,,,,,
3.7-2,,,,,,,,,,,,,,,,,,,,,,
3.8.2-1,,,,,,,,,,,,,,,,,,,,,,
3.8.2-2,,,,,,,,,,,,,,,,,,,,,,
3.8.2-3,,,,,,,,,,,,,,,,,,,,,,
3.8.2-4,,,,,,,,,,,,,,,,,,,,,,
3.8.2-5,,,,,,,,,,,,,,,,,,,,,,
3.8.2-6,,,,,,,,,,,,,,,,,,,,,,
3.8.2-7,,,,,,,,,,,,,,,,,,,,,,
3.8.2-8,,,,,,,,,,,,,,,,,,,,,,
3.8.2-9,C,X,,,I,,,O,O,O,O,,,O,O,O,O,O,O,O,O,O
3.8.2-10,C,X,,,I,,,O,O,O,O,,,O,O,O,O,O,O,O,O,O
3.8.2-11,C,X,,,I,,,A,A,A,A,A,A,A,,A,A,A,A,A,A,A
3.8.2-12 Alternate I,C,,,,G,,,,,,,,,,,,O,,,,,
3.8.2-12,C,,X,,G,,,,,,,,,,,,O,,,,,
3.8.2-13,C,,X,,G,,,,,,,,,,,,O,,,,,
3.8.2-14,C,,X,,G,,,,,,,,,,,,O,,,,,
3.8.2-15,C,,X,,I,,,,,O,O,,,O,,,,,,O,,
3.8.2-16,C,X,,,I,,O,,O,,O,,O,O,O,O,O,O,,O,O,
3.8.2-17,C,,X,,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.8.2-18,P,,,,K,,,,,O,O,,,O,,,,,,,,
3.8.2-19,C,X,,,I,,,,,O,O,,,O,,,,,,,,
3.8.2-20,,,,,,,,,,,,,,,,,,,,,,
3.8.2-21,,,,,,,,,,,,,,,,,,,,,,
3.8.2-22,C,,X,,F,,,,,A,A,,,A,,,,,,,,
3.8.4-1,C,X,,,I,,,,,,,,,,A,,,,,,,
3.8.4-2,C,X,,,I,,,,,,,,,,A,,,,,,,
3.8.4-3,C,X,,,I,,,,,,,,,,A,,,,,,,
3.8.4-4,C,X,,,I,,,,,,,,,,O,,,,,,,
3.8.4-5,C,X,,,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3.8.4-5 Alternate I,C,X,,,I,,,,,,,,,,,,,,O,,,
3.8.4-6,C,X,,,I,,O,,O,,O,,O,,0,,,,,,,
3.9.1-1,C,,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.9.1-2,C,X,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.9.1-3,P,,,,L,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.10.1-1,C,X,,,I,A,R,A,R,A,R,A,R,A,A,A,A,A,A,A,A,A
3.10.1-2,C,X,,,I,O,O,O,O,O,O,,,O,O,,,O,,O,,
3.10.1-3,C,X,,,I,A,R,A,R,A,R,A,R,A,A,A,A,A,,A,A,
3.10.1-4,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.10.1-5,C,X,,,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3.10.1-6,C,,X,,I,,,,,,,,,,,,,,,,,O
3.10.1-7,C,X,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.10.1-8,C,X,,,I,,,,,,,R,,,,,,R,,,,
3.10.1-9,C,X,,,F,R,R,R,R,R,R,,,,R,,,,,,,
3.10.1-9 Alternate I,C,X,,,F,,R,,R,,R,,,,A,,,,,,,
3.10.1-10,C,X,,,F,,,,,,,,,,,,,,R,,,
3.10.1-11,C,X,,,F,,,,,,,,,,,,R,,,,,
3.10.1-12,C,X,,,I,R,R,R,R,A,,,R,,A,,,R,,A,R,A
3.10.1-12 Alternate I,C,X,,,I,,,,,A,,,,,,,,,,A,,A
3.10.1-12 Alternate II,C,X,,,I,,,,,A,,,,,,,,,,A,,
3.10.1-12 Alternate III,C,X,,,I,,,,,A,,,,,,,,R,,A,,
3.10.1-12 Alternate IV,C,X,,,I,,,,,,,,,,,,,,,,R,
3.10.1-12 Alternate V,C,X,,,I,,,R,,,,,,,,,,,,,,
3.10.1-13,C,X,,,I,,R,,R,,A,,R,,,,,,A,A,,
3.10.1-13 Alternate I,C,X,,,I,,,,,,A,,,,,,,,,A,,
3.10.1-13 Alternate II,C,X,,,I,,,,,,A,,,,,,,,,A,,
3.10.1-13 Alternate III,C,X,,,I,,,,,,,,R,,,,,,A,,,
3.10.1-13 Alternate IV,C,X,,,I,,,,,,,,,,,,,,A,,,
3.10.1-13 Alternate V,C,X,,,I,,R,,R,,,,,,,,,,,,,
3.10.1-14,C,X,,,I,,,,,,,,,R,,,,,,,,
3.10.1-15,C,X,,,I,,,,,,,R,,,,,R,,,,,
3.10.1-16,C,X,,,I,,,,,,,R,R,,,,,,,,,
3.10.1-17,C,X,,,I,O,O,O,O,,,,,,O,,,,,,,
3.10.1-18,C,,X,,I,O,O,O,O,,,,,O,O,O,,,,O,,
3.10.1-19,C,,X,,I,,,,,,,O,O,,,,,O,,,,
3.10.1-20,C,X,,,I,,,,,,,O,,,,,,,,,,
3.10.1-21,,,,,,,,,,,,,,,,,,,,,,
3.10.1-22,C,X,,,G,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3.10.1-23 Alternate I,,,,,,,,,,,,,,,,,,,,,,
3.10.1-23,C,,X,,G,,,,,,,R,R,,,,R,,,,,
3.10.1-24,C,X,,,F,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3.10.1-25,C,X,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.10.1-26,C,X,,X,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.10.1-27,C,,X,,I,O,O,O,O,O,O,O,O,O,,O,O,O,O,O,,
3.10.1-27 Alternate I,C,,X,,I,O,O,O,O,O,O,O,O,O,,O,O,O,O,O,,
3.10.2-1,C,,X,,I,R,A,R,A,R,A,R,,,A,A,A,A,A,A,A,A
3.10.2-1 Alternate I,C,,X,,I,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.10.2-2,C,,X,,I,,R,,R,,R,,R,R,A,A,A,A,A,A,A,A
3.10.2-3,C,X,,,I,,,,,,,,,R,,,,,,,,
3.10.2-4,C,X,,,I,,,,,,,,,,,,,A,,,,
3.10.2-5,C,X,,,I,A,A,A,A,A,A,,A,,A,,A,A,A,,A,A
3.10.2-6,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.10.3-1,,,,,,,,,,,,,,,,,,,,,,
3.10.3-2,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.10.3-2 Alternate I,C,X,,,I,A,,A,,A,,A,,,A,,A,,,A,,A
3.10.3-2 Alternate II,C,X,,,I,,A,,A,,A,,A,A,,,A,,,A,,A
3.10.3-3,C,X,X,,I,,,,,,,,,,,,,,A,,,
3.10.3-4,,,,,,,,,,,,,,,,,,,,,,
3.10.3-5,C,X,,,I,,,,,,,,,,,,,,A,,,
3.10.3-6,,,,,,,,,,,,,,,,,,,,,,
3.10.3-7 Alternate I,,,,,,,,,,,,,,,,,,,,,,
3.10.3-7,,,,,,,,,,,,,,,,,,,,,,
3.10.3-8,,,,,,,,,,,,,,,,,,,,,,
3.10.3-9,,,,,,,,,,,,,,,,,,,,,,
3.10.3-10,,,,,,,,,,,,,,,,,,,,,,
3.10.3-11,,,,,,,,,,,,,,,,,,,,,,
3.10.3-12,,,,,,,,,,,,,,,,,,,,,,
3.10.3-13,,,,,,,,,,,,,,,,,,,,,,
3.10.3-14,,,,,,,,,,,,,,,,,,,,,,
3.10.3-15,,,,,,,,,,,,,,,,,,,,,,
3.10.4,,,,,,,,,,,,,,,,,,,,,,
3.10.4-1,C,X,,,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.10.4-2,C,X,,,E,R,,,,,,,,,A,,,,,A,,
3.10.4-2 Alternate I,C,X,,,E,A,,,,,,,,,A,,,,,A,,
3.10.4-2 Alternate II,C,X,,,E,A,,,,,,,,,A,,,,,A,,
3.10.4-3,C,X,,,E,,R,,A,,A,,,,,,,,,A,,
3.10.4-4,C,X,,,E,A,R,,,R,R,,,,A,,,,,A,,
3.10.4-5,C,X,,,E,,,,,,,,,R,,,,,,,,
3.10.4-6,C,X,,,E,,,A,,,,,,,,,,,,,,
3.10.4-7,C,X,,,E,,,,A,,,,,,,,,,,,,
3.10.4-7 Alternate I,C,X,,,E,,,,A,,,,,,,,,,,,,
3.10.4-8,C,X,,,E,,,A,A,,,,,,,,,,,,,
3.10.4-9,C,X,,,E,,,,,,,,,,,,,,R,,,
3.10.4-10,C,X,,,E,,,,,,,R,,,,,,,,,,
3.10.4-11,C,X,,,E,,,,,,,,,,,,R,,,,,
3.10.4-12,C,X,,,E,,,,,,,,,,,,,,,,A,
3.10.4-13,C,,X,,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
3.10.4-14,C,X,,,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
3.10.4-15,C,X,,,E,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,
3.10.4-16,C,X,,,E,R,,R,,A,,,,,A,,,,,A,,
3.10.4-17,,,,,,,,,,,,,,,,,,,,,,
3.10.4-18,,,,,,,,,,,,,,,,,,,,,,
3.10.4-19,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.10.4-20,P,,X,,L,,,,,,,,,,,A,,,,,,
3.10.4-21,C,,X,,I,,,,,,,,,,,A,,,,,,
3.10.4-22,,,,,,,,,,,,,,,,,,,,,,
3.10.4-23,C,X,,,I,A,A,,,,,A,A,,,,A,,,,,
3.10.4-24,,,,,,,,,,,,,,,,,,,,,,
3.10.4-25,P,X,,,I,,,,,,,,,,,A,,,,,,
3.10.4-26,C,X,,,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3.10.5-1,C,X,,,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3.10.6-1,C,X,,,I,R,,,,R,,,,A,A,,A,,,A,A,A
3.10.6-2,C,X,,,I,,,A,A,,,,,,,,,,,,,
3.10.6-3 Alternate IV,C,X,,,I,,,,,,,,,R,,,,,,,,
3.10.6-3 Alternate V,C,X,,,I,,,,,,,,,A,,,,,,,,
3.10.6-3,C,X,,,I,,R,,A,,R,,R,R,A,A,A,,A,A,A,A
3.10.6-3 Alternate I,C,X,,,I,,,,,,,,R,,,,,,,,,
3.10.6-3 Alternate II,C,X,,,I,,A,,A,,A,,,,A,A,A,,A,A,A,A
3.10.6-3 Alternate III,C,X,,,I,,,,,,,,A,,,,,,,,,
3.10.6-4,C,X,,,I,R,,,,R,,,,,A,,,,,A,,A
3.10.6-5,C,X,,,I,,,A,,,,,,,,,,,,,,
3.10.6-6,C,X,,,I,,,,,,,R,,,,,,,,,,
3.10.6-7,C,X,,,I,,A,,A,,A,,,A,,,,,A,,,
3.10.7-1,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.10.7-1 Alternate I,C,X,,,I,,A,,A,,A,,A,,A,A,A,A,A,A,A,A
3.10.9-1,C,,X,,I,A,A,,,,,,,,A,,,,,A,,
3.10.9-1 Alternate I,C,,X,,I,A,A,,,,,,,,A,,,,,A,,
3.10.9-1 Alternate II,C,,X,,I,A,A,,,,,,,,A,,,,,A,,
3.10.9-2,C,,X,,I,A,A,,,,,,,,A,,,,,A,,
3.10.9-2 Alternate I,C,,X,,I,A,A,,,,,,,,A,,,,,A,,
3.10.9-2 Alternate II,C,,X,,I,A,A,,,,,,,,A,,,,,A,,
3.11-1,C,X,X,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.11-2,C,,,,I,,,,,,,,,,,,,,,,A,
3.11-3,C,X,,,I,,,,,,,,,,,,,,,,A,
3.11-3 Alternate I,C,X,,,I,,,,,,,,,,,,,,,,A,
3.11-4,P,,X,,L,,,,,,,,,,,,,,,,A,
3.11-5,,,,,,,,,,,,,,,,,,,,,,
3.11-6,P,X,,,L,,,,,,,,,,,,,,,,R,
3.11-7,C,X,,,I,,,,,,,,,,,,,,,,A,
3.11-8,C,X,,,I,,,,,,,,,,,,,,,,A,
3.11-9,C,X,,,I,,,,,,,,,,,,,,,,A,
3.11-10,C,X,,,I,,,,,,,,,,,,,,,,A,
3.11-11,C,X,,,I,,,,,,,,,,,,,,,,A,
3.11-12,C,X,,,I,,,,,,,,,,,,,,,,A,
3.11-13,C,X,,,I,,,,,,,,,,,,,,,,A,
3.11-14,C,X,,,I,,,,,,,,,,,,,,,,A,
3.11-15,C,X,,,I,,,,,,,,,,,,,,,,A,
3.11-16,C,X,,,I,,,,,,,,,,,,,,,,A,
3.11-17,C,X,,,I,,,,,,,,,,,,,,,,R,
3.11-18,C,X,,,I,,,,,,,,,,,,,,,,A,
3.11-19,C,,X,,I,,,,,,,,,,,,,,,,A,
3.11-20,C,,X,,I,,,,,,,,,,,,,,,,A,
3.11-21,C,X,,,I,,,,,,,,,,,,,,,,R,
3.11-22,C,X,,,I,,,,,,,,,,,,,,,,A,
3.11-23,C,X,,,I,,,,,,,,,,,,,,,,A,
3.11-24,C,,X,,I,,,,,,,,,,,,,,,,A,
3.11-25,C,,X,,I,,,,,,,,,,,,,,,,A,
3.11-26,C,X,,,I,,,,,,,,,,,,,,,,A,
3.11-27,C,X,,,I,,,,,,,,,,,,,,,,R,
3.11-28,C,X,,,I,,,,,,,,,,,,,,,,A,
3.11-29,C,X,,,F,A,A,,,,,,,,A,,,,,A,,
3.11-30,C,X,,,F,A,A,,,,,,,,A,,,,,A,,
3.11-31,C,X,,,F,A,A,,,,,,,,A,,,,,A,,
3.11-32,C,X,,,F,A,A,,,,,,,,A,,,,,A,,
3.11-33,C,,,,F,A,A,,,,,A,,,A,,,,,A,,
3.11-34,C,X,,,F,A,A,,,,,,,,A,,,,,A,,
3.11-35,C,X,,,F,A,A,,,,,,,,A,,,,,A,,
